name_raw,name_normalized,category
Nike Pegasus (Modelo 40 o 41),Nike,brand
Brooks Ghost 16,Brooks,brand
Saucony Ride 17,Saucony,brand
New Balance Fresh Foam 880 v14,New Balance,brand
Asics Gel-Nimbus 26,Asics,brand
Hoka Clifton 9,Hoka,brand
Brooks Glycerin 21,Brooks,brand
New Balance Fresh Foam 1080 v13,New Balance,brand
Asics Novablast 4,Asics,brand
Saucony Endorphin Speed 4,Saucony,brand
Hoka Mach 6,Hoka,brand
Adidas Adizero SL 2,Adidas,brand
Asics Gel-Kayano 30,Asics,brand
Brooks Adrenaline GTS 23,Brooks,brand
Saucony Guide 17,Saucony,brand
